Period (days),Log of Amplitude
442.9196557,4.762790232
443.2267706,4.760062062
443.5340985,4.757325053
443.8416395,4.754579248
444.1493937,4.751824692
444.4573613,4.74906143
444.7655425,4.74628951
445.0739373,4.743508981
445.382546,4.740719893
445.6913687,4.737922299
446.0004055,4.735116253
446.3096566,4.73230181
446.6191221,4.729479029
446.9288022,4.726647969
447.2386971,4.72380869
447.5488068,4.720961257
447.8591315,4.718105733
448.1696714,4.715242186
448.4804266,4.712370685
448.7913973,4.7094913
449.1025837,4.706604105
449.4139858,4.703709175
449.7256038,4.700806585
450.0374379,4.697896417
450.3494882,4.69497875
450.6617549,4.692053668
450.9742381,4.689121258
451.286938,4.686181607
451.5998547,4.683234805
451.9129884,4.680280945
452.2263392,4.677320123
452.5399072,4.674352435
452.8536927,4.671377981
453.1676958,4.668396863
453.4819166,4.665409187
453.7963553,4.662415059
454.111012,4.65941459
454.4258869,4.656407892
454.7409801,4.65339508
455.0562918,4.650376272
455.3718221,4.647351589
455.6875712,4.644321153
456.0035393,4.64128509
456.3197264,4.63824353
456.6361328,4.635196605
456.9527585,4.632144447
457.2696039,4.629087196
457.5866689,4.626024992
457.9039537,4.622957977
458.2214586,4.619886298
458.5391836,4.616810104
458.8571289,4.613729549
459.1752947,4.610644786
459.4936811,4.607555976
459.8122883,4.604463279
460.1311163,4.601366861
460.4501655,4.598266889
460.7694359,4.595163536
461.0889276,4.592056975
461.4086409,4.588947385
461.7285759,4.585834946
462.0487327,4.582719844
462.3691115,4.579602266
462.6897124,4.576482403
463.0105356,4.57336045
463.3315813,4.570236604
463.6528497,4.567111068
463.9743407,4.563984047
464.2960547,4.560855747
464.6179918,4.557726382
464.9401521,4.554596167
465.2625357,4.551465319
465.585143,4.548334063
465.9079739,4.545202622
466.2310286,4.542071227
466.5543074,4.53894011
466.8778103,4.535809508
467.2015375,4.53267966
467.5254892,4.52955081
467.8496655,4.526423204
468.1740666,4.523297093
468.4986926,4.520172731
468.8235437,4.517050374
469.1486201,4.513930285
469.4739219,4.510812726
469.7994492,4.507697966
470.1252022,4.504586276
470.4511812,4.50147793
470.7773861,4.498373206
471.1038173,4.495272385
471.4304747,4.492175752
471.7573587,4.489083595
472.0844693,4.485996205
472.4118068,4.482913875
472.7393712,4.479836904
473.0671628,4.476765591
473.3951816,4.473700241
473.7234279,4.47064116
474.0519018,4.467588657
474.3806034,4.464543045
474.709533,4.46150464
475.0386906,4.458473758
475.3680765,4.455450722
475.6976908,4.452435854
476.0275336,4.44942948
476.3576051,4.446431929
476.6879055,4.443443531
477.0184349,4.440464619
477.3491935,4.437495529
477.6801815,4.434536598
478.0113989,4.431588165
478.342846,4.428650572
478.674523,4.425724161
479.0064299,4.422809278
479.3385669,4.419906268
479.6709343,4.417015479
480.0035321,4.414137261
480.3363605,4.411271963
480.6694197,4.408419938
481.0027099,4.405581536
481.3362311,4.402757112
481.6699836,4.39994702
482.0039676,4.397151612
482.3381831,4.394371245
482.6726303,4.391606272
483.0073095,4.388857049
483.3422207,4.38612393
483.6773641,4.383407271
484.0127399,4.380707424
484.3483483,4.378024745
484.6841894,4.375359584
485.0202633,4.372712294
485.3565703,4.370083226
485.6931104,4.36747273
486.029884,4.364881152
486.366891,4.362308839
486.7041317,4.359756136
487.0416062,4.357223385
487.3793148,4.354710925
487.7172575,4.352219096
488.0554345,4.349748231
488.393846,4.347298663
488.7324922,4.344870721
489.0713732,4.342464731
489.4104891,4.340081017
489.7498402,4.337719896
490.0894266,4.335381685
490.4292485,4.333066694
490.769306,4.330775232
491.1095993,4.328507599
491.4501285,4.326264096
491.7908939,4.324045015
492.1318955,4.321850644
492.4731336,4.319681268
492.8146083,4.317537163
493.1563198,4.315418603
493.4982682,4.313325855
